act-avg,sat-avg,enrollment,acceptance-rate,rankingDisplayScore,percent-receiving-aid,cost-after-aid,tuition,displayName,overallRank,institutionalControl
22,990,20833,75,45,21,28968,23256,University of Nebraska--Lincoln,124,public
24,1070,6899,62,44,61,40205,43960,Hofstra University,132,private
23,1010,26118,76,43,14,40711,28051,Louisiana State University--Baton Rouge,133,public
25,1100,4706,69,43,67,26615,36000,Mercer University,133,private
23,1030,7014,60,43,41,50853,47330,The New School,133,private
,910,8170,65,43,26,38949,29480,Rutgers University--Newark,133,public
23,1010,22548,63,43,16,33514,24308,University of Arkansas,133,public
23,1030,25860,76,43,28,35124,26334,University of Cincinnati,133,public
22,980,22621,91,43,,,28046,University of Kentucky,133,public
24,1060,23812,81,42,39,38588,34370,George Mason University,140,public
23,1110,8211,59,42,35,18674,31034,New Jersey Institute of Technology,140,public
23,1000,29853,35,42,32,31354,19340,San Diego State University,140,public
24,1070,31461,47,42,25,23103,17324,University of South Florida,140,public
20,930,24904,72,42,37,30666,25817,Washington State University,140,public
22,950,19472,94,41,22,34621,24775,Kansas State University,145,public
22,990,25327,77,41,34,36636,29457,Oregon State University,145,public
22,970,2786,65,41,81,28750,33120,St. John Fisher College,145,private
21,990,17959,74,41,31,39033,27672,University of Illinois--Chicago,145,public
22,1000,19213,78,41,24,27943,23554,University of Mississippi,145,public
25,1140,17350,68,41,28,37028,33654,University of Texas--Dallas,145,public
22,1010,5205,70,40,,,37170,Adelphi University,151,private
24,1060,3629,61,40,,,41240,Florida Institute of Technology,151,private
21,990,23788,75,40,,,21360,Ohio University,151,public
21,990,3095,87,40,,,40893,Seattle Pacific University,151,private
22,1010,13139,54,40,,,24358,University at Albany--SUNY,151,public
21,970,21093,75,39,,,23776,Oklahoma State University,156,public
24,1070,13639,60,39,,,31865,University of Massachusetts--Lowell,156,public
22,990,14801,71,39,,,28874,University of Rhode Island,156,public
21,950,4091,65,38,,,38448,Biola University,159,private
21,,18643,89,38,,,25168,Illinois State University,159,public
21,965,12369,89,38,,,23790,University of Alabama--Birmingham,159,public
21,970,13132,80,38,,,33764,University of Hawaii--Manoa,159,public
20,930,2809,48,38,,,41450,University of La Verne,159,private
24,1120,11142,57,38,,,25654,University of Maryland--Baltimore County,159,public
18,860,1555,82,37,,,27350,Immaculata University,165,private
22,900,2967,93,37,,,28470,Maryville University of St. Louis,165,private
25,1186,6909,79,37,,,27701,Missouri University of Science & Technology,165,public
22,970,16440,63,37,,,40790,St. John's University,165,private
18,860,6815,74,37,,,41612,University of California--Merced,165,public
22,1000,15827,73,37,,,26286,University of Louisville,165,public
21,990,18090,71,36,,,22358,Mississippi State University,171,public
,990,14344,58,36,,,21378,Rowan University,171,public
24,1080,55776,50,36,,,22467,University of Central Florida,171,public
21,930,9586,76,36,,,23812,University of Idaho,171,public
21,980,24212,75,36,,,32942,Virginia Commonwealth University,171,public
21,950,23684,85,35,,,18376,Kent State University,176,public
21,940,4384,80,35,,,29420,Robert Morris University,176,private
22,1020,29963,63,35,,,23011,Texas Tech University,176,public
23,1020,2214,63,35,,,31580,Union University,176,private
20,920,5150,72,35,,,38910,University of Hartford,176,private
21,955,1661,78,34,,,28500,Edgewood College,181,private
21,960,1929,64,34,,,26550,Lesley University,181,private
22,990,2986,61,34,,,30932,Lipscomb University,181,private
20,910,5290,84,34,,,37270,Suffolk University,181,private
21,950,9323,90,34,,,30282,University of Maine,181,public
21,960,9788,95,34,,,16827,University of Wyoming,181,public
21,930,5770,84,33,,,36120,Azusa Pacific University,187,private
20,990,17011,62,33,,,25938,Ball State University,187,public
15,870,16810,66,33,,,20566,Montclair State University,187,public
21,940,8914,84,33,,,44036,Pace University,187,private
21,930,22350,76,33,,,23616,West Virginia University,187,public
21,930,1688,40,32,,,28436,Andrews University,192,private
